Date,Open,High,Low,Close,Volume
2025-02-28,366.79998779296875,375.75,365.29998779296875,369.3500061035156,21899478
2025-03-03,370.0,371.0,352.3999938964844,360.3500061035156,12675744
2025-03-04,356.1000061035156,366.5,352.6000061035156,363.8500061035156,5535218
2025-03-05,362.04998779296875,368.8999938964844,362.04998779296875,368.25,5730797
2025-03-06,370.04998779296875,384.1499938964844,368.1000061035156,382.6000061035156,11247215
2025-03-07,382.6000061035156,389.6000061035156,379.3999938964844,380.6499938964844,8321771
2025-03-10,380.70001220703125,386.6000061035156,374.04998779296875,375.1499938964844,5541001
2025-03-11,371.0,380.0,368.0,379.04998779296875,5340552
2025-03-12,379.54998779296875,382.8500061035156,373.79998779296875,380.70001220703125,3951912
2025-03-13,381.5,383.0,377.3500061035156,378.29998779296875,3918004
2025-03-17,380.20001220703125,387.04998779296875,379.04998779296875,385.75,5456361
2025-03-18,385.75,385.75,385.75,385.75,0
2025-03-19,390.04998779296875,398.04998779296875,388.79998779296875,395.8500061035156,5827114
2025-03-20,397.70001220703125,398.1000061035156,392.04998779296875,396.3999938964844,7025398
2025-03-21,396.3999938964844,411.1000061035156,395.1000061035156,405.3999938964844,16564019
2025-03-24,407.95001220703125,411.79998779296875,405.04998779296875,406.0,5260300
2025-03-25,408.0,408.25,397.1000061035156,398.29998779296875,5636291
2025-03-26,398.5,402.45001220703125,393.1499938964844,394.79998779296875,5025274
2025-03-27,393.25,399.6499938964844,392.04998779296875,396.8500061035156,7697174
2025-03-28,397.0,401.8999938964844,393.5,398.20001220703125,6923988
2025-04-01,397.79998779296875,402.54998779296875,395.04998779296875,397.6499938964844,4332950
2025-04-02,401.6000061035156,401.6000061035156,391.5,397.5,4197123
2025-04-03,395.0,400.0,393.20001220703125,397.04998779296875,4970602
2025-04-04,396.0,396.0,382.6000061035156,385.04998779296875,6718760
2025-04-07,358.8500061035156,379.3999938964844,356.0,377.5,10202400
2025-04-08,385.0,385.5,376.6499938964844,382.8500061035156,3577328
2025-04-09,382.29998779296875,382.70001220703125,373.1000061035156,374.6000061035156,5781453
2025-04-11,389.95001220703125,392.79998779296875,382.1499938964844,392.1000061035156,6185984
2025-04-15,399.0,399.0,393.5,395.25,4371156
2025-04-16,395.25,400.1000061035156,392.5,399.25,4992290
2025-04-17,396.8999938964844,399.54998779296875,388.29998779296875,398.8500061035156,8364450
2025-04-21,399.25,406.0,395.6499938964844,400.5,8987570
2025-04-22,403.5,405.79998779296875,394.29998779296875,398.6000061035156,7558174
2025-04-23,400.0,401.6000061035156,394.0,398.95001220703125,7429142
2025-04-24,398.8999938964844,401.29998779296875,396.8500061035156,399.8500061035156,5762303
2025-04-25,400.29998779296875,404.0,389.6499938964844,393.1499938964844,7337588
2025-04-28,393.1499938964844,398.79998779296875,391.54998779296875,397.1499938964844,3458518
2025-04-29,397.1499938964844,400.3500061035156,388.45001220703125,389.1000061035156,6274213
2025-04-30,389.1000061035156,390.3500061035156,383.1000061035156,385.29998779296875,4559122
2025-05-02,385.5,390.95001220703125,381.3999938964844,383.5,5045851
2025-05-05,385.95001220703125,387.8999938964844,381.75,385.6000061035156,6395704
2025-05-06,386.5,387.6499938964844,377.3999938964844,378.25,5982166
2025-05-07,370.29998779296875,387.29998779296875,370.29998779296875,383.29998779296875,9162368
2025-05-08,390.0,394.95001220703125,382.25,385.45001220703125,14258083
2025-05-09,379.1000061035156,383.25,377.04998779296875,382.3999938964844,3809943
2025-05-12,391.95001220703125,396.1000061035156,387.5,395.5,6743279
2025-05-13,395.5,399.6000061035156,394.04998779296875,395.1499938964844,6307140
2025-05-14,396.75,404.04998779296875,396.45001220703125,403.1000061035156,6822756
2025-05-15,403.75,406.3999938964844,399.6000061035156,404.6499938964844,10511989
2025-05-16,406.0,409.0,403.6000061035156,404.79998779296875,4702603
2025-05-19,405.95001220703125,407.45001220703125,401.04998779296875,402.70001220703125,5446656
2025-05-20,405.5,417.25,404.0,408.1000061035156,18755291
2025-05-21,411.6499938964844,413.54998779296875,404.25,405.3500061035156,7393102
2025-05-22,405.0,406.6499938964844,393.20001220703125,398.8500061035156,7936875
2025-05-23,400.20001220703125,403.0,399.0,401.5,4178408
2025-05-26,402.54998779296875,405.79998779296875,401.75,402.70001220703125,6067873
2025-05-27,402.5,403.54998779296875,398.29998779296875,399.95001220703125,6553758
2025-05-28,401.0,401.8500061035156,396.5,398.20001220703125,6002200
2025-05-29,400.0,401.20001220703125,397.0,398.20001220703125,7724668
2025-05-30,398.95001220703125,404.75,396.3500061035156,397.29998779296875,6565658
2025-06-02,398.95001220703125,401.3999938964844,395.5,399.70001220703125,6119571
2025-06-03,399.70001220703125,400.5,390.5,392.8500061035156,7360608
2025-06-04,392.8500061035156,395.0,389.6000061035156,394.6000061035156,3861957
2025-06-05,394.6000061035156,397.79998779296875,392.54998779296875,394.8999938964844,6097293
2025-06-06,397.8500061035156,400.6000061035156,396.04998779296875,398.95001220703125,7633919
2025-06-09,400.8999938964844,406.20001220703125,400.0,401.0,9626374
